,tile_name,tile_path,tile_dimensions,NW_coordinates_lonlat_tile,SE_coordinates_lonlat_tile
49,m_4209027_se_15_060_20190801,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4209027_se_15_060_20190801.tif,"[11626, 12137, 4]","[-90.6930605996669, 42.56703439556517]","[-90.61885515432014, 42.49595345438554]"
50,m_3311815_ne_11_060_20180723,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3311815_ne_11_060_20180723.tif,"[11278, 11460, 4]","[-118.19004107178486, 33.87696214865921]","[-118.12250495686834, 33.81049869042432]"
51,m_2909664_se_14_060_20181126,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2909664_se_14_060_20181126.tif,"[11874, 12087, 4]","[-96.0658499539032, 29.065275264938613]","[-95.99656578432092, 28.99721213855682]"
52,m_4008046_se_17_060_20190825,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4008046_se_17_060_20190825.tif,"[11410, 11613, 4]","[-80.3161860181546, 40.31610266322868]","[-80.24574358925402, 40.24689170290086]"
53,m_3210017_nw_14_060_20181113,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3210017_nw_14_060_20181113.tif,"[11462, 11687, 4]","[-101.00307148022466, 32.752373975556864]","[-100.93449602729257, 32.68511886122735]"
54,m_3912118_ne_10_060_20180716,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3912118_ne_10_060_20180716.tif,"[11019, 11299, 4]","[-121.81534852600059, 39.75204671947357]","[-121.74707457039631, 39.68546480737868]"
55,m_3110614_ne_13_060_20190126,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3110614_ne_13_060_20190126.tif,"[11398, 11560, 4]","[-106.31501772748003, 31.877018337828304]","[-106.24754403276162, 31.81049029053134]"
56,m_3209225_se_15_060_20190903,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209225_se_15_060_20190903.tif,"[11732, 11734, 4]","[-92.94023040977817, 32.56574890324742]","[-92.87171355947918, 32.4972437322888]"
57,m_4007926_sw_17_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4007926_sw_17_060_20190918.tif,"[11471, 11900, 4]","[-79.8796290770951, 40.56636211629028]","[-79.80729164176653, 40.49663269506003]"
58,m_3908814_sw_16_060_20190918,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3908814_sw_16_060_20190918.tif,"[11468, 11896, 4]","[-88.37980490599719, 39.8164675206857]","[-88.30725648889762, 39.74652950480669]"
59,m_3208163_ne_17_060_20191023,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3208163_ne_17_060_20191023.tif,"[11359, 11483, 4]","[-81.18976612787871, 32.12689394003412]","[-81.12276543606019, 32.060616823009674]"
60,m_3008839_se_16_060_20191115,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3008839_se_16_060_20191115.tif,"[11596, 11757, 4]","[-88.19035192665129, 30.439871322266846]","[-88.12218703228592, 30.372639955291135]"
61,m_3908011_nw_17_060_20180701,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3908011_nw_17_060_20180701.tif,"[11242, 11542, 4]","[-80.75374276208437, 39.8778615819994]","[-80.68369738446543, 39.80963698362712]"
62,m_4810351_se_13_060_20180815,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4810351_se_13_060_20180815.tif,"[10528, 11034, 4]","[-103.691198454455, 48.18961399611336]","[-103.62125082353963, 48.12287433231872]"
63,m_4609801_se_14_060_20190702,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4609801_se_14_060_20190702.tif,"[10477, 10745, 4]","[-98.94018469796985, 46.939382188052]","[-98.87224415762319, 46.873136367066174]"
64,m_3310363_se_13_060_20180509,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3310363_se_13_060_20180509.tif,"[11507, 11716, 4]","[-103.19045504872231, 33.064845917478834]","[-103.1220355062806, 32.99764700537176]"
65,m_4609801_se_14_060_20180910,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4609801_se_14_060_20180910.tif,"[10351, 10556, 4]","[-98.93955433885606, 46.93894991464621]","[-98.87287711536182, 46.873567701177194]"
66,m_3808007_se_17_060_20180708,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3808007_se_17_060_20180708.tif,"[11420, 11769, 4]","[-80.19170423981522, 38.940677181974955]","[-80.12074216423706, 38.87181960710862]"
67,m_3409710_nw_14_060_20190628,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3409710_nw_14_060_20190628.tif,"[11620, 12078, 4]","[-97.8791553993604, 34.878329094381996]","[-97.80778387643207, 34.80966421693691]"
68,m_4208348_sw_17_060_20180706,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4208348_sw_17_060_20180706.tif,"[11399, 12007, 4]","[-83.13083804008869, 42.31691118203711]","[-83.05622885671869, 42.246080308136456]"
69,m_3108737_se_16_060_20191110,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3108737_se_16_060_20191110.tif,"[11432, 11568, 4]","[-87.43991862726499, 31.439520796525684]","[-87.37260726559742, 31.37300085399764]"
70,m_2909038_ne_15_060_20190707,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2909038_ne_15_060_20190707.tif,"[12193, 12465, 4]","[-90.3167881910044, 29.50402753566744]","[-90.24516147379495, 29.433963917549843]"
71,m_4107301_sw_18_060_20190830,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4107301_sw_18_060_20190830.tif,"[10991, 11340, 4]","[-74.00344647714887, 41.93990946460403]","[-73.9340279576486, 41.872627558853246]"
72,m_4207342_se_18_060_20190805,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4207342_se_18_060_20190805.tif,"[11008, 11398, 4]","[-73.81617577919464, 42.3149857060948]","[-73.74628693878131, 42.24748842905439]"
73,m_3409857_sw_14_060_20181028,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3409857_sw_14_060_20181028.tif,"[11101, 11192, 4]","[-99.0016442429094, 34.06390499667346]","[-98.93578322363776, 33.99857952853698]"
74,m_4209761_se_14_060_20180709,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4209761_se_14_060_20180709.tif,"[10970, 11353, 4]","[-97.44091316444252, 42.06478506946516]","[-97.3715181017519, 41.99773129544707]"
75,m_2609763_nw_14_060_20181214,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2609763_nw_14_060_20181214.tif,"[11769, 11888, 4]","[-97.25247521708015, 26.127184204655055]","[-97.18497202902277, 26.06035678671452]"
76,m_2608063_ne_17_060_20191120,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2608063_ne_17_060_20191120.tif,"[11762, 11862, 4]","[-80.18994590272881, 26.127170532501243]","[-80.1225211255877, 26.060314213138906]"
77,m_3408564_se_16_060_20190909,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3408564_se_16_060_20190909.tif,"[11615, 11899, 4]","[-85.06611767084344, 34.06532921665573]","[-84.99630561509615, 33.99718354381584]"
78,m_3907513_se_18_060_20180827,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3907513_se_18_060_20180827.tif,"[11348, 11499, 4]","[-75.440916234902, 39.815927125879384]","[-75.37113872709726, 39.74706598645858]"
