X,Y,FID,site_id,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,HyCrk_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period_,Latitude,Longitude,Link_Impor
-93.320068,30.132389,115,510,CALCASIEU REFINING CO,TRANSWORLD OIL USA INC,Lake Charles,Louisiana,3,129.5,36,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.132389,-93.320068,0
-94.228208,30.398348,116,512,SOUTH HAMPTON RESOURCES INC,TEXAS OIL & CHEMICAL CO,Silsbee,Texas,3,0,0,0,0,0,5.2,4.4,15,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.398348,-94.228208,0
-90.423202,30.002368,117,517,VALERO REFINING NEW ORLEANS LLC,VALERO ENERGY CORP,Norco,Louisiana,3,220,180,100,113,0,25,21,195,86,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.002368,-90.423202,1
-79.128024,41.832187,118,523,UNITED REFINING CO,RED APPLE GROUP INC,Warren,Pennsylvania,1,70,40,26,0,0,14,13,53,0,22,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,41.832187,-79.128024,1
-97.787248,29.261622,119,525,LAZARUS ENERGY LLC,BLUE DOLPHIN ENERGY CO,Nixon,Texas,3,15,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.261622,-97.787248,0
-88.04655,41.655625,120,526,PDV Midwest Refining LLC,PDV AMERICA INC,Lemont,Illinois,2,188.7,77.2,69.5,0,0,35.2,22.7,226.4,40.7,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,41.655625,-88.04655,1
-83.158493,42.2837,121,528,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Detroit,Michigan,2,147,89,41,0,0,21.5,7.5,133,36.5,32,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,42.2837,-83.158493,1
-90.595952,30.060139,122,530,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Garyville,Louisiana,3,594,296,145,123,0,136.5,87,601.5,94.5,33,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.060139,-90.595952,1
-87.715851,38.997284,123,531,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Robinson,Illinois,2,258,75.5,54.5,44,0,81.5,28.5,196,30.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,38.997284,-87.715851,1
-89.009189,31.814884,124,538,HUNT SOUTHLAND REFINING CO,HUNT CONSLD INC,Sandersville,Mississippi,3,12.5,6.9,0,0,0,0,0,0,0,6.1,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,31.814884,-89.009189,1
-118.166647,33.946372,125,550,LUNDAY THAGARD CO,WORLD OIL CO,South Gate,California,5,10,5,0,0,0,0,0,0,0,3.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,33.946372,-118.166647,0
-110.806321,41.261142,126,2468,Silver Eagle Refining,SILVER EAGLE REFINING INC,Evanston,Wyoming,4,3.4,0,0,0,0,2.9,0,3.9,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,41.261142,-110.806321,0
-87.363,31.072,127,3008,GOODWAY REFINING LLC,GOODWAY REFINING LLC,Atmore,Alabama,3,5,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,31.072,-87.363,0
-93.339019,30.188295,128,3109,EXCEL PARALUBES,EXCEL PARALUBES,Westlake,Louisiana,3,0,0,0,43,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,30.188295,-93.339019,0
-95.113566,29.82338,129,3215,EQUISTAR CHEMICALS LP,ACCESS INDUSTRIES,Channelview,Texas,3,0,0,0,0,0,0,22,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.82338,-95.113566,0
-102.911365,46.855395,130,4995,DAKOTA PRAIRIE REFINING LLC,MARATHON PETROLEUM CORP,Dickinson,North Dakota,2,20,0,0,0,0,0,0,8.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,46.855395,-102.911365,0
-95.219682,29.733018,131,4998,KINDER MORGAN CRUDE & CONDENSATE,KINDER MORGAN ENERGY PTNRS LP,Galena Park,Texas,3,100,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.733018,-95.219682,0
-95.123221,29.75377,132,5037,PETROMAX REFINING CO LLC,PETROMAX REFINING CO LLC,Houston,Texas,3,27.5,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.75377,-95.123221,0
-97.505532,27.817895,133,5048,BUCKEYE TEXAS PROCESSING LLC,BUCKEYE PARTNERS LP,Corpus Christi,Texas,3,65,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,27.817895,-97.505532,0
-97.439103,27.806936,134,5082,MAGELLAN TERMINAL HOLDINGS LP,MAGELLAN MIDSTREAM PARTNERS LP,Corpus Christi,Texas,3,50,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,27.806936,-97.439103,0
-95.103,29.7646,135,5199,TARGA CHANNELVIEW LLC,TARGA RESOURCES INC,Channelview,Texas,3,38,0,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2019,29.7646,-95.103,0
