,tile_name,tile_path,tile_heights,tile_widths,tile_bands,min_utmx,min_utmy,max_utmx,max_utmy,utm_projection,min_lon_tile,min_lat_tile,max_lon_tile,max_lat_tile
39,m_3209041_ne_15_060_20181127,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209041_ne_15_060_20181127.tif,12250,10540,4,693882.3,3584141.7,700205.7000000001,3576792.3000000003,EPSG:26915,-90.93906827422211,32.37744569805443,-90.87344199886421,32.31007379823578
40,m_4309354_sw_15_060_20190828,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4309354_sw_15_060_20190828.tif,12695,9585,4,469196.7,4782059.7,474947.10000000003,4774443.3,EPSG:26915,-93.37909005628347,43.1906810300615,-93.30797752997638,43.12231013517389
41,m_3209714_se_14_060_20181120,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3209714_se_14_060_20181120.tif,12220,10450,4,657828.3,3632009.7,664097.7000000001,3624678.3000000003,EPSG:26914,-97.31409154046887,32.81475633187762,-97.24844500308696,32.74773347223839
42,m_2909836_ne_14_060_20181102,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2909836_ne_14_060_20181102.tif,12090,10660,4,542250.3,3263639.7,548645.7000000001,3256386.3000000003,EPSG:26914,-98.56409942870333,29.501598861768816,-98.49844167648986,29.435904397366308
43,m_3709560_sw_15_060_20190718,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3709560_sw_15_060_20190718.tif,12906,10659,4,266115.89999999997,4105383.9000000004,272510.69999999995,4097640.9000000004,EPSG:26915,-95.63062392089522,37.065571281659466,-95.5564245305418,36.99741557031387
44,m_3408719_nw_16_060_20190908,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3408719_nw_16_060_20190908.tif,12290,10290,4,431100.3,3845777.7,437273.7,3838404.3000000003,EPSG:26916,-87.75277789718396,34.75180448773786,-87.68478524704666,34.68571521532905
45,m_4811222_nw_12_060_20190730,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4811222_nw_12_060_20190730.tif,12390,8530,4,398604.3,5400779.7,403721.7,5393346.3,EPSG:26912,-112.37945091581878,48.7517706267321,-112.30811516134577,48.68572905268084
46,m_4010858_nw_12_060_20190827,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4010858_nw_12_060_20190827.tif,12450,9830,4,680862.3,4444127.7,686759.7000000001,4436658.3,EPSG:26912,-108.87728779602877,40.12803388436503,-108.81027664132243,40.05949740746919
47,m_3509649_nw_14_060_20190711,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3509649_nw_14_060_20190711.tif,12658,10792,4,681659.7000000001,3903017.7,688134.3,3895423.5,EPSG:26914,-97.00319509700373,35.253809312601625,-96.93380255925025,35.18418116818558
48,m_4207318_ne_18_060_20190805,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4207318_ne_18_060_20190805.tif,12360,9370,4,596982.3,4734011.7,602603.7000000001,4726596.3,EPSG:26918,-73.81490736849463,42.75249869797069,-73.7475748584976,42.685003724181286
49,m_4209027_se_15_060_20190801,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_4209027_se_15_060_20190801.tif,12895,9809,4,689564.7000000001,4715321.7,695449.5000000001,4707585.3,EPSG:26915,-90.69049508715297,42.56703467962906,-90.62150291790392,42.495955132236055
50,m_3311815_ne_11_060_20180723,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_3311815_ne_11_060_20180723.tif,12170,10280,4,389940.3,3749081.7,396107.7,3741780.3000000003,EPSG:26911,-118.19004073789858,33.876336456547,-118.12250476846174,33.81112263320057
51,m_2909664_se_14_060_20181126,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//complete_dataset\tiles\m_2909664_se_14_060_20181126.tif,12310,10950,4,785856.3,3218777.7,792425.7000000001,3211392.3000000003,EPSG:26914,-96.06396485120734,29.065275359662312,-95.99849412783904,28.997214788249764
